,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,P0-Pinf
0,0,51.790009,167.512192,-7.012133,-25.549959,-44.082783,-56.339409,-64.071861,-66.467072,-61.584908,-55.407795,-46.064137,-44.602623,-254.987549,-272.874817,159.1008
0,0,52.953835,171.597855,-7.012133,-25.549959,-44.695042,-56.902805,-64.670662,-65.26947,-62.194656,-55.979012,-46.625893,-45.181881,-260.133026,-278.144897,162.597549
0,0,51.790009,169.263184,-7.012133,-25.549959,-44.082783,-56.339409,-64.071861,-68.862282,-61.584908,-55.407795,-46.625893,-44.602623,-257.84613,-275.802643,160.266388
0,0,51.790009,170.430511,-7.596477,-25.549959,-45.307301,-56.902805,-64.670662,-66.467072,-62.194656,-55.979012,-47.187653,-45.181881,-258.417847,-276.388214,161.431961
,,,,,,,,,,,,,,,,
,,15,16,17,18,19,20,,,,,,,,,
,,-264.193939,-222.474686,172.173615,-106.671074,-83.267471,-65.917107,,,,,,,,,
,,-258.387482,-218.397903,166.902985,-104.754837,-82.042946,-65.353714,,,,,,,,,
,,-268.839142,-227.133835,174.516113,-109.226074,-85.716515,-66.462791,,,,,,,,,
,,-267.097168,-225.386642,173.344879,-107.30983,-83.87973,-65.917107,,,,,,,,,
