,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,P0-Pinf
0,0,-374.516693,167.512192,53.291836,18.555677,-13.469739,-36.620617,-59.880245,-82.035934,-93.901741,-111.958023,-126.957253,-121.643509,-611.169739,-292.784119,158.518021
0,0,-336.194031,167.512192,56.80558,23.034636,-7.959391,-30.986677,-53.892223,-75.449112,-86.584717,-103.389809,-116.283852,-110.637672,-528.270081,-290.441833,159.1008
0,0,-326.32309,168.67952,57.97683,23.674488,-7.34713,-30.986677,-53.293419,-77.844315,-86.584717,-102.818596,-116.283852,-110.058426,-486.534515,-310.936768,159.683609
0,0,-251.419724,169.263184,48.02121,15.356424,-15.918781,-39.437588,-62.874252,-79.640732,-96.950493,-115.385307,-130.889557,-126.277557,-461.378815,-230.128311,160.266388
,,,,,,,,,,,,,,,,
,,15,16,17,18,19,20,,,,,,,,,
,,-176.516388,-183.454239,168.659882,-190.347183,-188.576324,-172.96199,,,,,,,,,
,,-196.258362,-191.025375,169.831116,-179.48848,-170.879105,-153.243195,,,,,,,,,
,,-231.097122,-190.442978,146.99176,-166.074722,-153.729965,-143.06398,,,,,,,,,
,,-227.613251,-189.86058,110.683029,-171.184723,-158.017242,-147.045868,,,,,,,,,
